,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4,frozenset({'001_绿叶蔬菜'}),frozenset({'007_新鲜水果'}),0.16375545851528384,0.30484508213765854,0.08208567269702641,0.5012698412698413,1.644342883128695,0.03216562649544477,1.3938497716526899
5,frozenset({'007_新鲜水果'}),frozenset({'001_绿叶蔬菜'}),0.30484508213765854,0.16375545851528384,0.08208567269702641,0.2692701227830832,1.6443428831286948,0.03216562649544477,1.1443962640061551
52,frozenset({'008_豆制品'}),frozenset({'007_新鲜水果'}),0.17857142857142858,0.30484508213765854,0.07127261384903306,0.39912663755458516,1.3092769440654843,0.016835992038736897,1.1569075304540424
53,frozenset({'007_新鲜水果'}),frozenset({'008_豆制品'}),0.30484508213765854,0.17857142857142858,0.07127261384903306,0.23379945429740792,1.3092769440654843,0.016835992038736897,1.0720803790022575
61,frozenset({'007_新鲜水果'}),frozenset({'020_其他肉类'}),0.30484508213765854,0.17623206487835308,0.0673216885007278,0.22083901773533424,1.2531148510787284,0.013598210207597085,1.0572499828306714
60,frozenset({'020_其他肉类'}),frozenset({'007_新鲜水果'}),0.17623206487835308,0.30484508213765854,0.0673216885007278,0.38200589970501475,1.2531148510787284,0.013598210207597085,1.1248568837963426
6,frozenset({'001_绿叶蔬菜'}),frozenset({'008_豆制品'}),0.16375545851528384,0.17857142857142858,0.06201913079642337,0.37873015873015875,2.120888888888889,0.032777084632979826,1.322176801226367
7,frozenset({'008_豆制品'}),frozenset({'001_绿叶蔬菜'}),0.17857142857142858,0.16375545851528384,0.06201913079642337,0.34730713245997086,2.1208888888888886,0.032777084632979826,1.281222123104371
119,frozenset({'008_豆制品'}),frozenset({'020_其他肉类'}),0.17857142857142858,0.17623206487835308,0.06139530047826991,0.34381368267831147,1.950914454277286,0.02992528889284972,1.2553872480669286
118,frozenset({'020_其他肉类'}),frozenset({'008_豆制品'}),0.17623206487835308,0.17857142857142858,0.06139530047826991,0.34837758112094397,1.9509144542772863,0.02992528889284972,1.260589794994503
73,frozenset({'007_新鲜水果'}),frozenset({'043_低温酸奶'}),0.30484508213765854,0.156997296735288,0.061291328758577665,0.20105729877216919,1.280641787808426,0.01343147493991844,1.0551478872879982
72,frozenset({'043_低温酸奶'}),frozenset({'007_新鲜水果'}),0.156997296735288,0.30484508213765854,0.061291328758577665,0.39039735099337747,1.280641787808426,0.01343147493991844,1.1403410385357258
78,frozenset({'051_调味品'}),frozenset({'007_新鲜水果'}),0.1945830734040341,0.30484508213765854,0.06051154086088584,0.31098049692759816,1.0201263367836424,0.0011938478664350188,1.0089045589603507
79,frozenset({'007_新鲜水果'}),frozenset({'051_调味品'}),0.30484508213765854,0.1945830734040341,0.06051154086088584,0.1984993178717599,1.0201263367836424,0.0011938478664350188,1.0048861399061157
67,frozenset({'007_新鲜水果'}),frozenset({'029_冷藏点心'}),0.30484508213765854,0.15808899979205657,0.05999168226242462,0.19679399727148705,1.2448304279889262,0.011799028135754855,1.0481881327429683
66,frozenset({'029_冷藏点心'}),frozenset({'007_新鲜水果'}),0.15808899979205657,0.30484508213765854,0.05999168226242462,0.37948043406774085,1.2448304279889262,0.011799028135754855,1.120278805097711
68,frozenset({'031_面包'}),frozenset({'007_新鲜水果'}),0.15205864004990644,0.30484508213765854,0.05848409232688709,0.3846153846153846,1.2616748871864834,0.012129763711132703,1.1296267415263048
69,frozenset({'007_新鲜水果'}),frozenset({'031_面包'}),0.30484508213765854,0.15205864004990644,0.05848409232688709,0.1918485675306958,1.2616748871864834,0.012129763711132703,1.0492357321686745
29,frozenset({'007_新鲜水果'}),frozenset({'002_根茎蔬菜'}),0.30484508213765854,0.11811187357038885,0.05489706799750468,0.1800818553888131,1.5246719059239475,0.01889124419750675,1.0755806932993426
28,frozenset({'002_根茎蔬菜'}),frozenset({'007_新鲜水果'}),0.11811187357038885,0.30484508213765854,0.05489706799750468,0.4647887323943662,1.5246719059239475,0.01889124419750675,1.298842083374375
271,frozenset({'050_烹调油/汁'}),frozenset({'051_调味品'}),0.1477438136826783,0.1945830734040341,0.05458515283842795,0.3694581280788178,1.898716684938322,0.025836707495619417,1.2773409070232897
270,frozenset({'051_调味品'}),frozenset({'050_烹调油/汁'}),0.1945830734040341,0.1477438136826783,0.05458515283842795,0.28052364413572,1.8987166849383217,0.025836707495619417,1.1845506518328017
100,frozenset({'076_干脆小食'}),frozenset({'007_新鲜水果'}),0.1576731129132876,0.30484508213765854,0.051154086088583905,0.32443125618199803,1.064249598212298,0.003088213031632439,1.0289921258547983
101,frozenset({'007_新鲜水果'}),frozenset({'076_干脆小食'}),0.30484508213765854,0.1576731129132876,0.051154086088583905,0.16780354706684858,1.0642495982122977,0.003088213031632439,1.0121731282533775
11,frozenset({'020_其他肉类'}),frozenset({'001_绿叶蔬菜'}),0.17623206487835308,0.16375545851528384,0.05084217092950717,0.2884955752212389,1.7617463126843658,0.021983208340257215,1.1753188207434444
