,class_full,parent_class
159,178_家用小电器,16_家居用品
123,179_厨房家电,16_家居用品
87,180_男士内衣,11_服饰鞋类箱包
151,181_视频音频产品,16_家居用品
14,182_自行车,16_家居用品
31,183_衣架/夹子,16_家居用品
38,184_家用附属品,16_家居用品
105,185_照明用品,16_家居用品
147,186_数码信息,19_数码产品
13,187_手机,19_数码产品
127,188_书籍/杂志,19_数码产品
157,189_儿童书籍,19_数码产品
11,190_电脑及配件,19_数码产品
158,191_学习机/电子词典,19_数码产品
91,192_寄售vcd,19_数码产品
66,193_男鞋,11_服饰鞋类箱包
113,194_女鞋,11_服饰鞋类箱包
86,195_童鞋,11_服饰鞋类箱包
162,196_运动帆布鞋,11_服饰鞋类箱包
177,197_电视,16_家居用品
32,198_餐具,16_家居用品
2,200_家用一次性用品,16_家居用品
